,Afghanistan,33.0,65.0,906,30,99
,Albania,41.1533,20.1683,539,26,283
,Algeria,28.0339,1.6596,2418,364,846
,Andorra,42.5063,1.5218,696,35,191
,Angola,-11.2027,17.8739,19,2,5
,Antigua and Barbuda,17.0608,-61.7964,23,3,3
,Argentina,-38.4161,-63.6167,2669,123,666
,Armenia,40.0691,45.0382,1201,19,402
Australian Capital Territory,Australia,-35.4735,149.0124,103,3,81
New South Wales,Australia,-33.8688,151.2093,2926,26,1379
Northern Territory,Australia,-12.4634,130.8456,28,0,9
Queensland,Australia,-28.0167,153.4,1007,5,442
South Australia,Australia,-34.9285,138.6007,435,4,331
Tasmania,Australia,-41.4545,145.9707,180,7,67
Victoria,Australia,-37.8136,144.9631,1302,14,1159
Western Australia,Australia,-31.9505,115.8605,541,7,340
,Austria,47.5162,14.5501,14595,431,9704
,Azerbaijan,40.1431,47.5769,1340,15,528
,Bahamas,25.0343,-77.3963,54,9,6
,Bahrain,26.0275,50.55,1740,7,725
,Bangladesh,23.685,90.3563,1838,75,58
,Barbados,13.1939,-59.5432,75,5,15
,Belarus,53.7098,27.9534,4779,42,342
,Belgium,50.8333,4.0,36138,5163,7961
,Benin,9.3077,2.3158,35,1,0
,Bhutan,27.5142,90.4336,5,0,18
,Bolivia,-16.2902,-63.5887,465,31,2
,Bosnia and Herzegovina,43.9159,17.6791,1214,46,26
,Brazil,-14.235,-51.9253,33682,2141,320
,Brunei,4.5353,114.7277,136,1,14026
,Bulgaria,42.7339,25.4858,846,41,112
,Burkina Faso,12.2383,-1.5616,557,35,141
,Cabo Verde,16.5388,-23.0418,56,1,294
,Cambodia,11.55,104.9167,122,0,1
,Cameroon,3.8480000000000000,11.5021,996,22,98
Alberta,Canada,53.9333,-116.5765,2397,50,164
British Columbia,Canada,49.2827,-123.1207,1575,77,10545
Grand Princess,Canada,37.6489,-122.6655,13,0,4
Manitoba,Canada,53.7609,-98.8139,250,5,5
New Brunswick,Canada,46.5653,-66.4619,117,0,3621
Newfoundland and Labrador,Canada,53.1355,-57.6604,256,3,984
Nova Scotia,Canada,44.682000000000000,-63.7443,606,4,509
Ontario,Canada,51.2538,-85.3232,10456,524,570
Prince Edward Island,Canada,46.5107,-63.4168,26,0,334
Quebec,Canada,52.9399,-73.5491,16798,688,137
Saskatchewan,Canada,52.9399,-106.4509,307,4,1475
,Central African Republic,6.6111,20.9394,12,0,252
,Chad,15.4542,18.7322,27,0,144
,Chile,-35.6751,-71.543,9252,116,162
Anhui,China,31.8257,117.2264,991,6,316
Beijing,China,40.1824,116.4142,593,8,471
Chongqing,China,30.0572,107.874,579,6,1254
Fujian,China,26.0789,117.9874,354,1,533
Gansu,China,37.8099,101.0583,139,2,63487
Guangdong,China,23.3417,113.4244,1577,8,1014
Guangxi,China,23.8298,108.7881,254,2,103
Guizhou,China,26.8154,106.8748,146,2,643
Hainan,China,19.1959,109.7453,168,6,936
Hebei,China,39.549,116.1306,328,6,97
Heilongjiang,China,47.862000000000000,127.7615,872,13,140
Henan,China,33.882,113.61400000000000,1276,22,16
Hong Kong,China,22.3,114.2,1021,4,75
Hubei,China,30.9756,112.2707,68128,4512,18
Hunan,China,27.6104,111.7088,1019,4,252
Inner Mongolia,China,44.0935,113.9448,193,1,761
Jiangsu,China,32.9711,119.455,653,0,512
Jiangxi,China,27.614,115.7221,937,1,135
Jilin,China,43.6661,126.1923,102,1,552
Liaoning,China,41.2956,122.6085,146,2,173
Macau,China,22.1667,113.55,45,0,1
Ningxia,China,37.2692,106.1655,75,0,73
Qinghai,China,35.7452,95.9956,18,0,177
Shaanxi,China,35.1917,108.8701,256,3,1246
Shandong,China,36.3427,118.1498,787,7,634
Shanghai,China,31.202000000000000,121.4491,628,7,11
Shanxi,China,37.5777,112.2922,197,0,25
Sichuan,China,30.6171,102.7103,560,3,88
Tianjin,China,39.3054,117.323,189,3,193
Tibet,China,31.6927,88.0924,1,0,600
Xinjiang,China,41.1129,85.2401,76,3,644
Yunnan,China,24.974,101.48700000000000,184,2,192
Zhejiang,China,29.1832,120.0934,1268,1,77
,Colombia,4.5709,-74.2973,3439,153,1174
,Congo (Brazzaville),-4.0383,21.7587,143,6,171
,Congo (Kinshasa),-4.0383,21.7587,287,23,11
,Costa Rica,9.7489,-83.7534,649,4,3389
,Cote d'Ivoire,7.54,-5.5471,688,6,76
,Croatia,45.1,15.2,1814,36,8
,Diamond Princess,0.0,0.0,712,13,268
,Cuba,22.0,-80.0,923,31,838
,Cyprus,35.1264,33.4299,750,12,646
,Czechia,49.8175,15.473000000000000,6549,173,38
Faroe Islands,Denmark,61.8926,-6.9118,184,0,4
Greenland,Denmark,71.7069,-42.6043,11,0,0
,Denmark,56.2639,9.5018,7073,336,145
,Djibouti,11.8251,42.5903,732,2,8
,Dominican Republic,18.7357,-70.1627,4126,200,15
,Ecuador,-1.8312,-78.1834,8450,421,0
,Egypt,26.0,30.0,2844,205,1700
,El Salvador,13.7942,-88.8965,177,7,61
,Equatorial Guinea,1.5,10.0,79,0,0
,Eritrea,15.1794,39.7823,35,0,67
,Estonia,58.5953,25.0136,1459,38,73
,Eswatini,-26.5225,31.4659,16,1,117
,Ethiopia,9.145,40.4897,96,3,14
,Fiji,-17.7134,178.065,17,0,237
,Finland,64.0,26.0,3489,82,4
French Guiana,France,3.9339,-53.1258,96,0,13
French Polynesia,France,-17.6797,149.4068,55,0,34420
Guadeloupe,France,16.25,-61.5833,145,8,7
Mayotte,France,-12.8275,45.1662,245,4,2
New Caledonia,France,-20.9043,165.618,18,0,79
Reunion,France,-21.1351,55.2471,402,0,83114
Saint Barthelemy,France,17.9,-62.8333,6,0,83
St Martin,France,18.0708,-63.0501,35,2,6
Martinique,France,14.6415,-61.0242,158,8,269
,France,46.2276,2.2137,147969,18681,21
,Gabon,-0.8037,11.6094,108,1,59
,Gambia,13.4432,-15.3101,9,1,0
,Georgia,42.3154,43.3569,370,3,9
,Germany,51.0,9.0,141397,4352,0
,Ghana,7.9465,-1.0232,641,8,2
,Greece,39.0742,21.8243,2224,108,10
,Guatemala,15.7835,-90.2308,214,7,207
