type,Country/Region,Lat,Long,4/23/20,type
node,Afghanistan,33.0,65.0,1279,node
node,Albania,41.1533,20.1683,663,node
node,Algeria,28.0339,1.6596,3007,node
node,Andorra,42.5063,1.5218,723,node
node,Angola,-11.2027,17.8739,25,node
node,Antigua and Barbuda,17.0608,-61.7964,24,node
node,Argentina,-38.4161,-63.6167,3435,node
node,Armenia,40.0691,45.0382,1523,node
node,Australia,-35.4735,149.0124,104,node
node,Australia,-33.8688,151.2093,2976,node
node,Australia,-12.4634,130.8456,28,node
node,Australia,-28.0167,153.4,1026,node
node,Australia,-34.9285,138.6007,438,node
node,Australia,-41.4545,145.9707,207,node
node,Australia,-37.8136,144.9631,1337,node
node,Australia,-31.9505,115.8605,546,node
node,Austria,47.5162,14.5501,15002,node
node,Azerbaijan,40.1431,47.5769,1548,node
node,Bahamas,25.0343,-77.3963,72,node
node,Bahrain,26.0275,50.55,2217,node
node,Bangladesh,23.685,90.3563,4186,node
node,Barbados,13.1939,-59.5432,76,node
node,Belarus,53.7098,27.9534,8022,node
node,Belgium,50.8333,4.0,42797,node
node,Benin,9.3077,2.3158,54,node
node,Bhutan,27.5142,90.4336,7,node
node,Bolivia,-16.2902,-63.5887,703,node
node,Bosnia and Herzegovina,43.9159,17.6791,1413,node
node,Brazil,-14.235,-51.9253,50036,node
node,Brunei,4.5353,114.7277,138,node
node,Bulgaria,42.7339,25.4858,1097,node
node,Burkina Faso,12.2383,-1.5616,616,node
node,Cabo Verde,16.5388,-23.0418,82,node
node,Cambodia,11.55,104.9167,122,node
node,Cameroon,3.848,11.5021,1334,node
node,Canada,53.9333,-116.5765,3720,node
node,Canada,49.2827,-123.1207,1824,node
node,Canada,37.6489,-122.6655,-1,node
node,Canada,53.7609,-98.8139,262,node
node,Canada,46.5653,-66.4619,118,node
node,Canada,53.1355,-57.6604,256,node
node,Canada,44.682,-63.7443,827,node
node,Canada,51.2538,-85.3232,14068,node
node,Canada,46.5107,-63.4168,26,node
node,Canada,52.9399,-73.5491,21838,node
node,Canada,52.9399,-106.4509,331,node
node,Central African Republic,6.6111,20.9394,16,node
node,Chad,15.4542,18.7322,33,node
node,Chile,-35.6751,-71.543,11812,node
node,China,31.8257,117.2264,991,node
node,China,40.1824,116.4142,593,node
node,China,30.0572,107.874,579,node
node,China,26.0789,117.9874,355,node
node,China,37.8099,101.0583,139,node
node,China,23.3417,113.4244,1585,node
node,China,23.8298,108.7881,254,node
node,China,26.8154,106.8748,147,node
node,China,19.1959,109.7453,168,node
node,China,39.549,116.1306,328,node
node,China,47.862,127.7615,928,node
node,China,33.882,113.614,1276,node
node,China,22.3,114.2,1035,node
node,China,30.9756,112.2707,68128,node
node,China,27.6104,111.7088,1019,node
node,China,44.0935,113.9448,194,node
node,China,32.9711,119.455,653,node
node,China,27.614,115.7221,937,node
node,China,43.6661,126.1923,108,node
node,China,41.2956,122.6085,146,node
node,China,22.1667,113.55,45,node
node,China,37.2692,106.1655,75,node
node,China,35.7452,95.9956,18,node
node,China,35.1917,108.8701,279,node
node,China,36.3427,118.1498,787,node
node,China,31.202,121.4491,641,node
node,China,37.5777,112.2922,197,node
node,China,30.6171,102.7103,561,node
node,China,39.3054,117.323,189,node
node,China,31.6927,88.0924,1,node
node,China,41.1129,85.2401,76,node
node,China,24.974,101.487,184,node
node,China,29.1832,120.0934,1268,node
node,Colombia,4.5709,-74.2973,4561,node
node,Congo (Brazzaville),-4.0383,21.7587,186,node
node,Congo (Kinshasa),-4.0383,21.7587,377,node
